;ADR;AVG_PRICE;STANDARD_DEVIATION;COEF_OF_VARIATION;AVG_PRICE_>_0;year_house;house_info
2024;"
 1-й Грайвороновский пр., 1
 ";187825.5;18146.915364601224;0.09661582354153841;True;Дом 2020 года;22 этажаМонолитное здание3,10 м потолкиЛифтМусоропровод
2025;"
 ул. Дмитриевского, 17
 ";150280.7;22319.52383923098;0.14851889723185333;True;Дом 2006 года;14 этажейПанельное зданиеЦентральное отопление2,74 м потолки296 квартирГаза нетЛифтМусоропровод
2026;"
 Ельнинская ул., 14к2
 ";247285.775;36176.54270068348;0.1462944752915265;True;Дом 2017 года;25 этажейПанельное здание2,70 м потолкиГаза нетЛифтМусоропровод
2027;"
 Ташкентская ул., 35
 ";145074.875;17512.378285355047;0.1207126891224621;True;Дом 1967 года;9 этажейКирпичное здание128 квартирГаза нетЛифтМусоропровод
2028;"
 рабочий пос. Боброво, Крымская ул., 13
 ";117771.55;12243.400808088414;0.10395890015957517;True;Дом 2015 года;17 этажейПанельное зданиеЛифтМусоропровод
2029;"
 ул. Академика Анохина, 34к2
 ";189238.1;51930.63489685063;0.2744195534453719;True;Дом 1983 года;17 этажейПанельное зданиеЦентральное отопление2,64 м потолки407 квартирГаза нетЛифтМусоропровод
2030;"
 Волгоградский пр-т, 140к1
 ";142986.33333333334;16837.808589929722;0.11775816749337153;True;Дом 1961 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейПанельное зданиеЦентральное отопление2,64 м потолки79 квартирГазЛифт отсутствуетМусоропровода нет
2031;"
 Нежинская ул., 19к1
 ";186544.525;29437.763405180343;0.1578055609253627;True;Дом 1971 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки188 квартирГазЛифтМусоропровод
2032;"
 Бескудниковский б-р, 17к1
 ";193864.525;41772.442260411044;0.215472336985898;True;Дом 2010 года;25 этажейМонолитное зданиеЦентральное отопление168 квартирГаза нетЛифтМусоропровод
2033;"
 Анадырский пр., 69
 ";153046.125;18298.53932994038;0.11956225177174777;True;Дом 1970 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки357 квартирГазЛифтМусоропровод
2034;"
 Волгоградский пр-т, 153к2
 ";130869.5;15260.093181781907;0.11660542129206505;True;Дом 1963 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейПанельное зданиеЦентральное отопление2,64 м потолки80 квартирГазЛифт отсутствуетМусоропровода нет
2035;"
 ш. Энтузиастов, 11Ак4
 ";218981.9;28420.692941763402;0.1297855801861405;True;Дом 2000 года;17 этажейПанельное зданиеЦентральное отопление2,74 м потолки222 квартирыГаза нетЛифтМусоропровод
2036;"
 Свободный пр-т, 11к2
 ";154616.85;16813.30524696141;0.10874173964196922;True;Дом 1973 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки431 квартираГазЛифтМусоропровод
2037;"
 Береговой пр., 5Ак1
 ";295567.475;75278.28760106977;0.25469070167842306;True;Дом 2017 года;22 этажаМонолитное здание3,00 м потолкиЛифтМусоропровод
2038;"
 ул. Обручева, 5А
 ";249761.975;25888.857059058726;0.10365411732133654;True;Дом 2015 года;24 этажаКирпично-монолитное зданиеЦентральное отопление2,80 м потолки365 квартирГаза нетЛифтМусоропровод
2039;"
 ул. Симоновский Вал, 18
 ";223363.15;32262.339585459395;0.1444389532716538;True;Дом 1962 года;8 этажейКирпичное здание2,60 м потолки112 квартирГазЛифтМусоропровод
2040;"
 Нагорный б-р, 19
 ";257897.625;121207.76103733777;0.4699840141503349;True;Дом 1960 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейБлочное здание2,48 м потолкиГазЛифт отсутствуетМусоропровода нет
2041;"
 Воронежская ул., 34к1
 ";153580.25;24249.806757735205;0.15789664854520816;True;Дом 1977 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки72 квартирыГаза нетЛифтМусоропровод
2042;"
 Рождественская ул., 23/33
 ";0.0;0.0;0.0;False;"
 Рождественская ул., 23/33
 ";"
 Рождественская ул., 23/33
 "
2043;"
 Инженерная ул., 34к1
 ";126878.11538461539;29918.44784168987;0.2358046362132333;True;Дом 1959 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.4 этажаКирпичное зданиеЦентральное отопление3,20 м потолки48 квартирГазЛифт отсутствуетМусоропровода нет
2044;"
 Большая Черёмушкинская ул., 32к1
 ";197793.47368421053;34655.0974747749;0.17520849818383744;True;Дом 1954 года;5 этажейКирпичное зданиеЦентральное отопление3,00 м потолки61 квартираГазЛифт отсутствуетМусоропровода нет
2045;"
 Братиславская ул., 6
 ";0.0;0.0;0.0;False;"
 Братиславская ул., 6
 ";"
 Братиславская ул., 6
 "
2046;"
 Крылатская ул., 29к1
 ";203341.975;30464.04459070356;0.1498168029040908;True;Дом 1986 года;17 этажейПанельное здание2,64 м потолки405 квартирЛифтМусоропровод
2047;"
 ул. Красного Маяка, 1к1
 ";173494.95;28939.980407690327;0.1668058949709506;True;Дом 1970 года;9 этажейПанельное зданиеГазЛифтМусоропровод
2048;"
 Туристская ул., 25к1
 ";167690.35;28069.138697642647;0.16738672617501632;True;Дом 1981 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки176 квартирГаза нетЛифтМусоропровод
2049;"
 ул. Маршала Голованова, 16
 ";154749.95;20326.88349323378;0.13135308601543186;True;Дом 1980 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки191 квартираГаза нетЛифтМусоропровод
2050;"
 ул. Генерала Белобородова, 16
 ";146983.55;22441.342098847388;0.15267927668672712;True;Дом 1996 года;17 этажейПанельное зданиеЦентральное отопление2,64 м потолки203 квартирыГаза нетЛифтМусоропровод
2051;"
 6-я Кожуховская ул., 6
 ";181192.225;20737.99939059636;0.11445303125228667;True;Дом 1966 года;12 этажейБлочное здание80 квартирГазЛифтМусоропровод
2052;"
 3-й Павелецкий пр., 6кА
 ";206028.2;66283.29955961758;0.3217195488754334;True;Дом 1963 года;9 этажейПанельное здание2,50 м потолки72 квартирыГазЛифтМусоропровод
2053;"
 ул. Исаковского, 2к1
 ";179579.2;18042.01006567727;0.10046826172339152;True;Дом 1983 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки306 квартирГаза нетЛифтМусоропровод
2054;"
 пр. Шокальского, 10
 ";164175.1;20956.60216471172;0.12764787208725148;True;Дом 1978 года;12 этажейПанельное здание2,50 м потолки191 квартираЛифтМусоропровод
2055;"
 ул. Недорубова, 18к2
 ";148906.05;25062.517603933968;0.1683109423957856;True;Дом 2016 года;17 этажейПанельное зданиеЦентральное отопление2,70 м потолки192 квартирыГаза нетЛифтМусоропровод
2056;"
 Рождественская ул., 19к2
 ";137259.275;15083.36240363451;0.10988956778064368;True;Дом 2010 года;17 этажейПанельное зданиеЦентральное отопление2,74 м потолки519 квартирГаза нетЛифтМусоропровод
2057;"
 Ботаническая ул., 19к2
 ";251931.275;30734.516533522616;0.12199563763380555;True;Дом 2010 года;17 этажейПанельное зданиеЦентральное отопление2,74 м потолки128 квартирГаза нетЛифтМусоропровод
2058;"
 Верхняя Красносельская ул., 10к7А
 ";238558.275;20498.599136267214;0.08592700939117377;True;Дом 1995 года;17 этажейПанельное зданиеЦентральное отопление2,64 м потолкиГаза нетЛифтМусоропровод
2059;"
 Сторожевая ул., 22/8
 ";0.0;0.0;0.0;False;"
 Сторожевая ул., 22/8
 ";"
 Сторожевая ул., 22/8
 "
2060;"
 ш. Энтузиастов, 94к4
 ";139155.375;19266.373656824344;0.13845224201238612;True;Дом 1973 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки429 квартирГазЛифтМусоропровод
2061;"
 Люберцы, Озёрная ул., 1
 ";118068.125;18913.578371354666;0.16019207869486082;True;Дом 2017 года;17 этажейМонолитное здание218 квартирГаза нетЛифтМусоропровод
